Post;Up;Down;Total
28391;5;0;5
28392;1;0;1
28393;1;0;1
28394;0;1;-1
28396;1;0;1
28397;1;0;1
28398;1;0;1
28399;1;0;1
28400;1;0;1
28402;0;1;-1
28403;0;1;-1
28404;11;0;11
28405;1;0;1
28406;1;0;1
28409;3;0;3
28410;0;2;-2
28412;2;0;2
28415;1;0;1
28416;3;0;3
28417;1;0;1
28418;2;0;2
28419;1;0;1
28420;9;0;9
28423;0;1;-1
28425;1;0;1
28427;1;0;1
28430;2;0;2
28433;3;0;3
28435;1;0;1
28437;1;0;1
28438;1;0;1
28439;3;0;3
28441;1;0;1
28442;1;0;1
28443;0;1;-1
28444;3;0;3
28445;1;0;1
28446;0;1;-1
28447;0;2;-2
28448;1;0;1
28454;1;0;1
28455;2;0;2
28458;0;2;-2
28459;1;0;1
28461;2;0;2
28462;1;0;1
28463;1;0;1
28464;1;0;1
28465;1;0;1
28466;1;0;1
28467;3;0;3
28468;4;0;4
28469;3;0;3
28472;1;0;1
28475;1;0;1
28476;0;1;-1
28478;2;0;2
28481;1;0;1
28484;1;0;1
28486;2;0;2
28487;1;0;1
28488;1;0;1
28489;0;1;-1
28491;3;0;3
28493;1;0;1
28495;1;0;1
28496;0;1;-1
28497;1;0;1
28498;6;0;6
28499;1;0;1
28500;1;0;1
28501;3;0;3
28502;1;0;1
28503;3;0;3
28508;0;1;-1
28514;2;0;2
28516;1;0;1
28519;1;0;1
28520;2;0;2
28521;3;0;3
28522;7;0;7
28523;2;0;2
28524;11;1;10
28527;1;0;1
28528;2;1;1
28530;6;1;5
28531;4;0;4
28533;3;0;3
28535;2;0;2
28537;2;0;2
28538;1;0;1
28541;1;0;1
28542;1;0;1
28543;1;0;1
28545;1;0;1
28546;0;1;-1
28548;1;2;-1
28549;3;0;3
28550;2;0;2
28551;1;0;1
28552;2;1;1
28553;0;1;-1
28554;3;0;3
28555;1;0;1
28556;1;0;1
28558;2;0;2
28560;6;0;6
28561;4;0;4
28566;1;0;1
28568;2;0;2
28573;2;0;2
28574;2;0;2
28575;6;0;6
28576;3;0;3
28577;0;1;-1
28578;11;0;11
28581;1;0;1
28582;1;0;1
28583;2;0;2
28584;2;0;2
28587;2;1;1
28588;0;1;-1
28589;1;0;1
28592;4;0;4
28593;1;0;1
28594;1;0;1
28596;1;0;1
28597;0;3;-3
28603;1;0;1
28604;1;0;1
28605;0;1;-1
28607;1;0;1
28608;1;0;1
28609;3;0;3
28611;2;0;2
28612;3;0;3
28614;1;0;1
28615;1;0;1
28619;1;0;1
28620;3;0;3
28621;3;0;3
28623;1;0;1
28624;1;0;1
28627;2;0;2
28628;0;1;-1
28629;1;0;1
28630;0;1;-1
28631;3;0;3
28632;2;0;2
28635;1;0;1
28638;7;0;7
28642;0;1;-1
28643;3;0;3
28645;1;0;1
28646;3;1;2
28647;2;0;2
28648;1;0;1
28650;1;0;1
28651;2;0;2
28653;1;0;1
28654;5;0;5
28655;3;0;3
28656;1;1;0
28657;2;0;2
28658;0;1;-1
28659;1;0;1
28660;1;0;1
28661;1;0;1
28662;1;0;1
28665;0;1;-1
28666;0;1;-1
28667;1;0;1
28670;2;0;2
28671;1;0;1
28672;4;0;4
28673;1;0;1
28674;1;0;1
28676;1;0;1
28677;1;0;1
28678;4;0;4
28679;1;0;1
28680;2;0;2
28681;0;1;-1
28684;0;2;-2
28686;2;0;2
28687;0;1;-1
28692;2;0;2
28695;6;0;6
28697;1;0;1
28699;1;0;1
28700;1;0;1
28705;1;0;1
28706;1;0;1
28707;1;0;1
28708;1;0;1
28709;3;0;3
28711;0;1;-1
28713;0;1;-1
28715;4;0;4
28717;10;0;10
28720;1;0;1
28722;1;0;1
28723;1;0;1
28726;0;1;-1
28735;0;1;-1
28736;0;1;-1
28737;1;0;1
28738;1;0;1
28739;0;1;-1
28740;1;0;1
28741;1;0;1
28744;1;0;1
28745;2;0;2
28746;1;0;1
28747;1;0;1
28748;1;0;1
28749;0;1;-1
28751;1;0;1
28757;1;0;1
28759;3;0;3
28761;1;0;1
28762;1;0;1
28763;2;0;2
28764;2;0;2
28765;1;0;1
28766;3;0;3
28767;0;1;-1
28768;3;0;3
28769;2;0;2
28770;1;0;1
28771;0;2;-2
28772;1;0;1
28774;0;1;-1
28775;2;0;2
28776;0;2;-2
28778;1;0;1
28779;0;1;-1
28782;7;0;7
28784;13;0;13
28785;6;0;6
28786;2;0;2
28787;1;2;-1
28788;1;0;1
28789;2;1;1
28790;1;1;0
28791;1;0;1
28792;1;0;1
28794;1;0;1
28795;0;1;-1
28796;2;0;2
28798;1;0;1
28799;1;0;1
28800;1;0;1
28801;3;0;3
28802;2;0;2
28804;7;0;7
28806;1;0;1
28812;1;0;1
28813;2;0;2
28815;1;0;1
28816;1;0;1
28819;0;1;-1
28820;1;0;1
28821;0;1;-1
28822;1;0;1
28823;2;0;2
28828;2;1;1
28829;4;0;4
28830;1;0;1
28832;1;0;1
28833;0;2;-2
28836;1;0;1
28837;0;1;-1
28838;0;1;-1
28840;1;0;1
28841;0;3;-3
28842;1;2;-1
28844;1;0;1
28845;1;0;1
28848;1;0;1
28849;0;2;-2
28852;1;0;1
28853;1;0;1
28854;5;0;5
28855;1;0;1
28856;1;0;1
28857;3;0;3
28858;1;0;1
28859;1;0;1
28860;0;1;-1
28861;2;1;1
28862;3;0;3
28865;3;0;3
28866;2;1;1
28867;3;0;3
28868;3;0;3
28871;2;0;2
28874;3;0;3
28876;1;0;1
28878;2;0;2
28881;1;0;1
28883;0;1;-1
28885;1;0;1
28886;5;0;5
28887;1;0;1
28889;2;0;2
28890;1;0;1
28891;3;0;3
28893;1;0;1
28896;2;0;2
28897;0;1;-1
28898;1;0;1
28899;4;0;4
28901;0;1;-1
28905;4;0;4
28907;5;0;5
28909;6;0;6
28910;1;0;1
28911;3;0;3
28912;2;0;2
28913;1;0;1
28914;2;0;2
28915;1;0;1
28916;2;0;2
28917;11;0;11
28918;0;1;-1
28922;1;0;1
28923;5;0;5
28924;2;0;2
28928;2;0;2
28929;12;0;12
28930;1;0;1
28932;1;0;1
28933;4;0;4
28934;0;1;-1
28935;1;0;1
28936;1;0;1
28937;3;0;3
28940;1;0;1
28943;0;1;-1
28946;0;1;-1
28948;3;0;3
28949;1;0;1
28950;2;0;2
28953;2;0;2
28954;3;0;3
28955;2;0;2
28956;1;0;1
28958;0;1;-1
28959;1;0;1
28960;1;0;1
28963;1;0;1
28966;0;1;-1
28970;1;0;1
28971;0;1;-1
28973;3;0;3
28974;3;1;2
28975;5;0;5
28978;1;0;1
28979;2;0;2
28980;5;0;5
28981;0;1;-1
28987;0;1;-1
28989;2;0;2
28990;4;0;4
28991;1;0;1
28992;6;0;6
28995;1;0;1
28997;1;0;1
28998;1;0;1
28999;1;0;1
29000;4;0;4
29001;3;1;2
29006;0;1;-1
29008;1;0;1
29009;5;0;5
29011;0;1;-1
29012;1;2;-1
29018;1;0;1
29020;2;0;2
29023;1;0;1
29027;1;0;1
29028;1;0;1
29031;0;1;-1
29032;3;0;3
29033;2;0;2
29035;1;1;0
29038;0;2;-2
29039;0;1;-1
29040;1;1;0
29041;1;0;1
29042;1;2;-1
29043;2;1;1
29045;0;1;-1
29050;0;1;-1
29052;2;0;2
29056;3;0;3
29058;1;0;1
29059;4;0;4
29060;1;0;1
29063;1;0;1
29066;2;0;2
29067;1;0;1
29068;0;1;-1
29072;1;0;1
29073;3;0;3
29075;2;0;2
29076;2;0;2
29080;0;1;-1
29082;0;1;-1
29083;0;1;-1
29086;1;0;1
29087;2;0;2
29089;0;1;-1
29090;0;1;-1
29093;2;0;2
29098;1;0;1
29101;1;0;1
29103;2;2;0
29105;2;0;2
29106;0;1;-1
29107;4;0;4
29108;1;0;1
29110;0;1;-1
29115;1;0;1
29119;2;0;2
29121;2;0;2
29122;2;0;2
29123;1;0;1
29127;1;0;1
29128;2;0;2
29131;0;1;-1
29133;1;0;1
29135;2;0;2
29138;1;2;-1
29139;0;1;-1
29140;6;0;6
29141;0;1;-1
29142;1;0;1
29147;1;0;1
29148;2;0;2
29152;1;1;0
29153;0;1;-1
29155;1;0;1
29157;0;1;-1
29159;0;1;-1
29160;5;0;5
29161;1;0;1
29164;1;0;1
29165;1;0;1
29166;8;0;8
29170;0;1;-1
29171;2;0;2
29172;1;0;1
29173;0;1;-1
29174;0;1;-1
29175;0;1;-1
29183;1;0;1
29184;4;0;4
29187;0;1;-1
29188;0;1;-1
29191;4;0;4
29192;3;0;3
29194;1;0;1
29195;1;0;1
29196;1;0;1
29197;25;0;25
29198;1;0;1
29199;1;0;1
29203;0;1;-1
29204;1;0;1
29205;0;1;-1
29207;0;2;-2
29208;3;0;3
29209;2;0;2
29210;6;0;6
29211;1;0;1
29212;2;0;2
29213;1;0;1
29214;1;0;1
29217;0;1;-1
29220;1;0;1
29222;1;0;1
29225;0;1;-1
29226;2;0;2
29228;0;1;-1
29230;1;0;1
29232;0;1;-1
29233;3;0;3
29235;1;0;1
29237;0;1;-1
29239;2;0;2
29241;1;0;1
29242;1;0;1
29243;1;0;1
29245;1;0;1
29247;2;0;2
29248;2;0;2
29252;0;1;-1
29253;2;0;2
29254;8;0;8
29255;1;0;1
29258;1;0;1
29260;2;0;2
29261;1;0;1
29262;1;0;1
29263;4;0;4
29269;1;0;1
29270;0;1;-1
29271;0;1;-1
29272;0;1;-1
29273;1;0;1
29274;1;0;1
29275;0;1;-1
29276;0;1;-1
29277;1;0;1
29278;2;0;2
29282;1;0;1
29283;1;0;1
29284;1;0;1
29285;9;0;9
29286;1;0;1
29287;0;1;-1
29288;1;0;1
29289;0;1;-1
29290;1;0;1
29291;3;0;3
29294;0;3;-3
29297;1;0;1
29298;4;0;4
29299;1;1;0
29300;0;1;-1
29302;0;1;-1
29304;2;0;2
29305;1;0;1
29307;4;0;4
29308;1;0;1
29309;2;0;2
29310;2;0;2
29311;1;0;1
29312;2;0;2
29318;1;0;1
29319;0;1;-1
29322;4;0;4
29323;3;0;3
29324;1;0;1
29325;1;0;1
29326;4;0;4
29327;1;1;0
29330;2;0;2
29331;1;0;1
29332;0;1;-1
29333;0;1;-1
29336;3;0;3
29338;6;0;6
29339;2;1;1
29340;1;0;1
29343;2;0;2
29344;4;0;4
29347;1;0;1
29348;1;0;1
29349;6;0;6
29351;0;1;-1
29354;1;0;1
29355;5;0;5
29356;2;0;2
29357;1;0;1
29358;4;0;4
29360;7;0;7
29361;3;0;3
29362;1;0;1
29366;1;0;1
29368;1;0;1
29370;1;3;-2
29372;4;0;4
29373;0;1;-1
29374;4;0;4
29375;3;0;3
29378;1;0;1
29379;2;0;2
29380;7;0;7
29381;1;0;1
29382;1;0;1
29383;2;0;2
29386;5;0;5
29387;1;0;1
29388;1;0;1
29389;1;0;1
29390;2;0;2
29392;2;0;2
29393;1;0;1
29395;1;0;1
29396;1;0;1
29398;1;0;1
29400;2;0;2
29402;1;0;1
29404;2;0;2
29406;1;0;1
29407;0;6;-6
29409;2;0;2
29414;1;0;1
29415;1;0;1
29416;0;1;-1
29421;0;1;-1
29422;3;0;3
29423;1;0;1
29424;1;1;0
29427;1;0;1
29428;1;0;1
29429;2;0;2
29430;2;0;2
29432;4;0;4
29433;4;0;4
29436;2;0;2
29437;2;0;2
29438;4;0;4
29440;1;0;1
29441;4;0;4
29443;1;0;1
29444;1;2;-1
29446;1;0;1
29452;3;0;3
29453;1;0;1
29455;0;3;-3
29461;5;0;5
29466;0;2;-2
29467;1;0;1
29470;1;0;1
29472;2;0;2
29475;1;0;1
29477;0;1;-1
29478;1;0;1
29480;1;0;1
29484;0;1;-1
29486;1;0;1
29487;1;0;1
29491;0;1;-1
29494;0;1;-1
29497;1;0;1
29498;1;0;1
29499;0;1;-1
29501;2;0;2
29502;1;0;1
29503;3;0;3
29506;1;0;1
29508;1;0;1
29509;1;0;1
29510;1;0;1
29514;2;0;2
29515;0;1;-1
29516;10;0;10
29517;1;0;1
29519;0;1;-1
29523;1;0;1
29525;1;0;1
29526;4;0;4
29527;1;0;1
29528;4;0;4
29529;6;0;6
29530;5;0;5
29532;3;0;3
29534;0;1;-1
29535;1;1;0
29537;2;0;2
29540;1;0;1
29541;1;0;1
29542;1;0;1
29544;0;1;-1
29546;3;0;3
29547;1;0;1
29549;2;0;2
29553;3;0;3
29555;1;0;1
29557;1;0;1
29559;1;0;1
29561;3;0;3
29562;1;0;1
29564;2;0;2
29565;1;0;1
29566;1;0;1
29567;1;0;1
29568;2;0;2
29569;1;0;1
29570;3;0;3
29574;1;0;1
29575;1;0;1
29577;1;0;1
29580;1;0;1
29582;1;0;1
29585;1;0;1
29586;0;1;-1
29587;2;0;2
29588;2;0;2
29590;2;0;2
29591;0;1;-1
29592;1;0;1
29595;2;0;2
29596;1;0;1
29597;1;0;1
29598;0;1;-1
29599;0;1;-1
29601;1;0;1
29602;0;1;-1
29603;1;0;1
29605;1;0;1
29606;2;0;2
29609;2;0;2
29610;0;1;-1
29612;0;1;-1
29614;1;1;0
29615;4;0;4
29620;2;0;2
29623;1;0;1
29629;1;0;1
29630;1;0;1
29631;0;1;-1
29633;4;0;4
29637;1;0;1
29638;1;0;1
29639;1;0;1
29640;2;0;2
29642;1;0;1
29646;1;0;1
29649;1;0;1
29651;6;0;6
29652;1;0;1
29655;2;0;2
29656;2;0;2
29663;0;1;-1
29665;2;0;2
29666;1;0;1
29669;1;0;1
29673;2;0;2
29675;4;0;4
29678;3;0;3
29682;1;0;1
29686;0;11;-11
29687;1;0;1
29688;1;0;1
29690;8;0;8
29692;1;0;1
29693;0;1;-1
29694;1;0;1
29695;1;0;1
29696;0;1;-1
29697;1;0;1
29699;2;0;2
29700;2;0;2
29702;7;0;7
29703;3;0;3
29704;3;0;3
29705;4;0;4
29706;0;1;-1
29707;2;0;2
29708;3;0;3
29709;1;0;1
29711;1;0;1
29713;1;0;1
29714;1;0;1
29715;1;1;0
29717;2;0;2
29720;1;0;1
29722;1;0;1
29723;2;0;2
29724;3;0;3
29725;2;0;2
29726;2;0;2
29727;2;0;2
29730;1;0;1
29731;1;0;1
29733;1;0;1
29734;1;0;1
29735;3;0;3
29736;0;4;-4
29738;1;0;1
29739;0;1;-1
29740;2;0;2
29741;1;0;1
29743;0;1;-1
29744;1;0;1
29747;1;0;1
29748;1;0;1
29749;1;0;1
29750;1;0;1
29751;1;1;0
29752;2;0;2
29755;2;0;2
29756;3;0;3
29761;1;0;1
29762;1;0;1
29763;0;1;-1
29765;1;0;1
29766;1;0;1
29767;1;0;1
29769;2;0;2
29771;2;0;2
29772;1;0;1
29773;1;0;1
29778;2;0;2
29779;0;1;-1
29782;2;0;2
29783;2;0;2
29784;2;0;2
29785;2;0;2
29786;1;0;1
29787;2;0;2
29791;1;0;1
29792;4;0;4
29793;0;1;-1
29795;0;1;-1
29797;1;0;1
29798;2;0;2
29799;2;0;2
29803;1;0;1
29804;1;0;1
29806;3;0;3
29807;1;0;1
29809;1;0;1
29813;1;0;1
29814;2;0;2
29819;2;0;2
29820;1;0;1
29821;1;0;1
29822;9;0;9
29823;7;0;7
29827;1;0;1
29828;1;0;1
29829;1;0;1
29830;2;0;2
29831;1;0;1
29832;2;0;2
29833;1;0;1
29834;2;0;2
29835;9;0;9
29836;1;0;1
29837;0;1;-1
29838;2;0;2
29841;1;0;1
29844;4;0;4
29845;1;1;0
29847;7;0;7
29848;1;0;1
29849;0;1;-1
29853;1;0;1
29855;1;0;1
29858;9;0;9
29859;0;1;-1
29860;1;0;1
29861;1;0;1
29862;3;0;3
29864;0;1;-1
29865;0;1;-1
29866;2;0;2
29867;1;0;1
29868;3;0;3
29869;0;1;-1
29872;2;0;2
29874;2;0;2
29877;2;0;2
29881;6;0;6
29882;1;0;1
29883;2;0;2
29884;0;1;-1
29886;10;0;10
29887;1;0;1
29889;2;0;2
29890;1;0;1
29892;1;0;1
29895;0;2;-2
29897;3;0;3
29898;1;0;1
29899;2;0;2
29900;1;0;1
29901;1;0;1
29903;0;1;-1
29904;4;0;4
29906;1;1;0
29907;1;0;1
29908;0;1;-1
29909;8;0;8
29910;2;0;2
29912;1;0;1
29913;1;0;1
29914;2;0;2
29916;2;0;2
29917;2;0;2
29918;1;0;1
29920;1;0;1
29923;0;1;-1
29924;2;0;2
29926;0;1;-1
29928;1;0;1
29929;1;0;1
29930;0;1;-1
29932;4;0;4
29933;1;0;1
29935;2;0;2
29936;5;0;5
29937;5;0;5
29938;6;0;6
29939;2;0;2
29944;3;0;3
29945;3;0;3
29946;1;0;1
29948;1;0;1
29949;1;0;1
29953;1;0;1
29954;1;0;1
29955;1;0;1
29960;1;0;1
29961;1;0;1
29964;3;0;3
29965;1;0;1
29966;3;0;3
29968;0;1;-1
29971;1;0;1
29972;0;1;-1
29974;1;0;1
29975;2;0;2
29978;4;0;4
29982;1;0;1
29984;1;0;1
29985;1;0;1
29987;1;0;1
29988;1;0;1
29990;4;0;4
29991;6;0;6
29992;1;0;1
29993;1;0;1
29996;0;1;-1
29997;1;0;1
29998;1;0;1
30002;1;0;1
30003;1;0;1
30005;1;0;1
30006;1;0;1
30007;1;0;1
30008;0;1;-1
30011;1;0;1
30013;1;0;1
30014;0;2;-2
30015;2;0;2
30016;1;0;1
30017;1;0;1
30019;3;0;3
30020;0;1;-1
30021;5;0;5
30022;1;0;1
30023;0;1;-1
30027;1;0;1
30030;1;0;1
30032;0;1;-1
30034;1;0;1
30036;4;0;4
30037;9;0;9
30038;0;3;-3
30039;1;0;1
30040;1;0;1
30041;3;0;3
30043;1;0;1
30044;1;0;1
30047;2;0;2
30051;2;0;2
30053;1;0;1
30054;1;0;1
30055;3;0;3
30056;0;1;-1
30057;0;1;-1
30059;3;1;2
30061;3;0;3
30062;1;0;1
30063;0;1;-1
30067;1;0;1
30071;0;1;-1
30072;1;0;1
30073;1;0;1
30075;1;0;1
30078;0;1;-1
30079;1;0;1
30081;0;1;-1
30083;1;0;1
30084;1;0;1
30086;0;1;-1
30088;1;0;1
30089;1;0;1
30092;3;0;3
30093;1;0;1
30094;1;0;1
30095;1;0;1
30096;0;1;-1
30100;2;0;2
30101;2;0;2
30102;2;0;2
30103;7;0;7
30105;1;0;1
30106;1;0;1
30107;0;1;-1
30108;2;0;2
30114;1;0;1
30116;1;0;1
30117;7;0;7
30119;4;0;4
30120;1;1;0
30123;1;0;1
30124;1;0;1
30125;1;0;1
30128;1;0;1
30130;1;0;1
30134;1;0;1
30138;2;0;2
30139;2;0;2
30140;1;0;1
30141;1;0;1
30142;0;2;-2
30144;0;1;-1
30145;3;0;3
30146;0;1;-1
30147;2;0;2
30148;4;0;4
30149;0;1;-1
30150;3;0;3
30151;1;0;1
30152;2;0;2
30154;0;1;-1
30155;2;0;2
30159;1;0;1
30160;3;0;3
30161;1;0;1
30162;1;0;1
30163;0;1;-1
30164;1;0;1
30170;0;1;-1
30171;0;1;-1
30174;0;1;-1
30175;1;0;1
30176;1;0;1
30177;0;1;-1
30178;1;0;1
30179;3;0;3
30180;3;0;3
30181;3;0;3
30182;3;1;2
30184;0;1;-1
30186;2;0;2
30187;1;0;1
30188;1;0;1
30193;0;1;-1
30199;1;0;1
30200;1;0;1
30201;1;0;1
30203;2;0;2
30204;1;0;1
30206;1;0;1
30211;2;0;2
30214;0;1;-1
30215;3;0;3
30219;1;0;1
30221;1;0;1
30224;2;0;2
30225;1;0;1
30226;0;1;-1
30229;3;0;3
30232;1;0;1
30233;1;0;1
30234;0;1;-1
30235;1;0;1
30236;0;2;-2
30237;0;1;-1
30238;0;1;-1
30240;2;0;2
30241;7;0;7
30242;1;0;1
30243;18;0;18
30244;4;0;4
30245;0;1;-1
30246;1;0;1
30247;1;0;1
30248;1;0;1
30249;4;0;4
30251;4;0;4
30252;1;1;0
30256;0;1;-1
30257;1;0;1
30259;3;0;3
30260;1;0;1
30262;1;0;1
30264;1;0;1
30265;2;0;2
30266;2;0;2
30271;3;0;3
30272;0;1;-1
30280;1;0;1
30281;1;0;1
30284;2;0;2
30286;1;0;1
30287;1;0;1
30288;0;1;-1
30290;2;0;2
30295;0;1;-1
30296;1;0;1
30300;2;0;2
30303;7;0;7
30304;8;1;7
30305;7;0;7
30308;5;0;5
30309;6;0;6
30310;0;1;-1
30312;9;0;9
30313;5;0;5
30314;1;0;1
30315;1;0;1
30316;1;0;1
30317;1;0;1
30318;2;1;1
30319;5;0;5
30321;0;2;-2
30323;0;1;-1
30324;0;2;-2
30325;2;0;2
30328;0;1;-1
30329;3;0;3
30331;3;0;3
30339;0;1;-1
30341;2;0;2
30342;1;0;1
30343;7;0;7
30344;7;0;7
30345;0;1;-1
30346;1;0;1
30347;1;0;1
30348;1;0;1
30349;2;0;2
30351;0;1;-1
30352;1;0;1
30354;2;0;2
30356;1;0;1
30357;2;0;2
30358;1;0;1
30359;3;0;3
30361;1;0;1
30365;0;1;-1
30366;1;0;1
30372;1;0;1
30373;2;0;2
30376;1;0;1
30377;0;1;-1
30378;1;0;1
30380;3;0;3
30381;2;0;2
30382;1;0;1
30384;0;1;-1
30385;14;0;14
30386;1;0;1
30387;6;0;6
30388;0;1;-1
30389;17;0;17
30390;1;0;1
30392;1;0;1
30393;1;0;1
30395;1;0;1
30396;1;0;1
30398;1;0;1
30399;0;1;-1
30400;1;0;1
30401;0;1;-1
30403;4;0;4
30404;2;0;2
30405;4;0;4
30406;1;0;1
30407;7;0;7
30409;1;0;1
30411;7;0;7
30413;0;1;-1
30414;0;1;-1
30415;0;1;-1
30417;2;0;2
30422;1;0;1
30425;2;0;2
30427;1;0;1
30428;0;1;-1
30431;4;0;4
30434;1;0;1
30436;2;0;2
30440;1;0;1
30442;0;1;-1
30444;1;0;1
30445;1;0;1
30446;1;0;1
30447;1;0;1
30452;2;0;2
30453;1;0;1
30455;4;0;4
30457;1;0;1
30458;1;0;1
30463;1;0;1
30464;1;0;1
30465;2;0;2
30466;0;1;-1
30467;0;1;-1
30469;1;0;1
30470;0;1;-1
30471;6;0;6
30476;3;0;3
30478;2;0;2
30479;1;0;1
30480;1;0;1
30481;1;0;1
30482;2;0;2
30483;0;1;-1
30484;5;0;5
30486;1;0;1
30489;0;1;-1
30490;1;0;1
30492;2;0;2
30494;1;0;1
30495;1;0;1
30496;2;0;2
30497;0;1;-1
30498;1;0;1
30499;3;0;3
30500;1;0;1
30501;0;1;-1
30502;4;1;3
30503;3;0;3
30504;1;0;1
30505;3;0;3
30506;1;0;1
30507;0;1;-1
30510;1;0;1
30512;0;1;-1
30513;0;1;-1
30515;2;0;2
30517;2;3;-1
30520;0;1;-1
30524;0;1;-1
30526;1;0;1
30529;3;0;3
30535;0;1;-1
30536;1;0;1
30537;1;0;1
30539;1;0;1
30540;0;1;-1
30541;0;1;-1
30546;0;1;-1
30547;1;0;1
30549;1;0;1
30552;1;0;1
30553;1;0;1
30554;2;0;2
30555;7;0;7
30556;1;0;1
30557;1;0;1
30558;0;1;-1
30559;2;0;2
30560;3;0;3
30561;1;0;1
30563;9;0;9
30564;1;0;1
30565;0;1;-1
30566;0;1;-1
30573;1;0;1
30574;1;0;1
30577;2;0;2
30578;1;0;1
30580;0;1;-1
30582;3;0;3
30583;2;0;2
30588;0;2;-2
30591;1;0;1
30594;1;0;1
30596;3;0;3
30598;1;0;1
30599;1;0;1
30600;2;0;2
30601;1;0;1
30602;1;1;0
30603;1;0;1
30604;1;0;1
30605;1;0;1
30606;0;1;-1
30607;2;0;2
30609;1;1;0
30610;1;0;1
30611;4;0;4
30614;5;0;5
30616;2;0;2
30617;1;0;1
30621;6;0;6
30622;1;0;1
30624;4;1;3
30627;2;0;2
30628;3;0;3
30629;1;0;1
30631;1;0;1
30632;1;0;1
30633;1;0;1
30637;2;4;-2
30638;1;0;1
30639;1;0;1
30640;1;0;1
30641;1;0;1
30642;0;1;-1
30643;2;0;2
30646;2;0;2
30650;1;0;1
30653;0;1;-1
30656;1;0;1
30658;1;0;1
30660;6;0;6
30662;2;0;2
30663;1;0;1
30666;1;0;1
30670;2;2;0
30675;1;0;1
30677;0;1;-1
30679;0;3;-3
30681;1;0;1
30683;0;1;-1
30684;1;0;1
30685;2;0;2
30686;0;1;-1
30690;1;1;0
30692;1;0;1
30694;3;1;2
30696;0;2;-2
30697;1;0;1
30698;1;0;1
30700;1;0;1
30702;2;0;2
30703;0;1;-1
30704;1;0;1
30705;1;0;1
30706;1;1;0
30707;0;1;-1
30708;3;0;3
30709;1;0;1
30710;1;0;1
30712;2;0;2
30713;1;0;1
30715;6;0;6
30717;1;0;1
30719;3;0;3
30723;9;0;9
30724;3;0;3
30725;0;1;-1
30726;0;1;-1
30727;1;0;1
30728;9;0;9
30731;1;0;1
30732;8;0;8
30735;2;0;2
30737;1;0;1
30738;4;0;4
30740;2;0;2
30741;2;0;2
30742;1;0;1
30744;1;0;1
30747;2;0;2
30748;0;1;-1
30749;2;0;2
30751;1;0;1
30753;1;0;1
30754;0;1;-1
30755;3;0;3
30756;3;0;3
30757;3;0;3
30758;2;1;1
30759;0;1;-1
30761;1;0;1
30762;1;0;1
30763;8;0;8
30766;6;0;6
30767;14;0;14
30771;0;1;-1
30776;1;0;1
30778;2;0;2
30779;1;0;1
30780;0;1;-1
30783;2;0;2
30784;1;0;1
30785;1;0;1
30786;1;0;1
30787;2;0;2
30788;3;0;3
30789;4;0;4
30791;1;0;1
30794;0;1;-1
30799;0;1;-1
30800;1;0;1
30805;2;0;2
30807;1;0;1
30813;1;0;1
30814;2;0;2
30816;0;1;-1
30817;0;1;-1
30818;1;0;1
30819;1;0;1
30820;1;0;1
30821;1;0;1
30824;1;0;1
30825;3;0;3
30832;1;0;1
30833;1;0;1
30834;3;0;3
30835;1;0;1
30837;1;0;1
30838;1;0;1
30839;1;0;1
30842;1;0;1
30843;2;0;2
30844;1;0;1
30845;1;0;1
30847;2;0;2
30850;2;0;2
30851;8;0;8
30852;1;0;1
30854;18;0;18
30859;2;0;2
30860;1;0;1
30861;1;0;1
30864;0;1;-1
30867;0;1;-1
30869;3;0;3
30870;4;0;4
30873;6;0;6
30877;1;0;1
30879;1;0;1
30881;10;0;10
30882;1;0;1
30885;1;0;1
30887;1;0;1
30888;4;0;4
30889;1;0;1
30890;1;0;1
30891;3;2;1
30894;1;0;1
30895;3;0;3
30896;1;0;1
30898;4;0;4
30899;3;0;3
30900;1;0;1
30901;1;0;1
30902;1;0;1
30903;1;0;1
30906;1;0;1
30908;0;2;-2
30909;1;0;1
30910;2;0;2
30911;1;0;1
30912;3;0;3
30914;1;0;1
30915;1;0;1
30916;4;0;4
30917;0;1;-1
30918;1;0;1
30919;1;0;1
30920;1;0;1
30922;1;0;1
30923;1;0;1
30924;1;0;1
30926;1;0;1
30928;0;1;-1
30930;1;0;1
30931;2;0;2
30932;1;0;1
30933;1;0;1
30934;1;1;0
30936;3;0;3
30938;0;1;-1
30939;1;0;1
30940;6;0;6
30941;2;0;2
30942;2;0;2
30943;1;0;1
30945;1;0;1
30946;5;0;5
30948;1;0;1
30951;0;4;-4
30955;0;1;-1
30956;0;1;-1
30957;2;0;2
30959;1;0;1
30962;1;0;1
30963;3;0;3
30964;3;1;2
30965;8;0;8
30966;11;0;11
30969;3;0;3
30970;1;0;1
30972;0;1;-1
30973;1;0;1
30977;4;0;4
30979;4;0;4
30980;2;0;2
30987;1;0;1
30990;0;1;-1
30992;1;0;1
30993;3;0;3
30994;2;0;2
30995;2;0;2
30997;1;0;1
30998;1;0;1
30999;2;0;2
31000;0;2;-2
31006;3;0;3
31007;1;0;1
31009;2;0;2
31010;0;1;-1
31011;1;0;1
31012;2;0;2
31016;1;0;1
31018;2;0;2
31020;1;0;1
31021;4;0;4
31022;1;0;1
31023;1;0;1
31025;2;0;2
31027;1;0;1
31028;1;0;1
31030;1;0;1
31031;5;0;5
31032;9;0;9
