1 ; 300
2 ; 114
3 ; 62
4 ; 68
21 ; 2
22 ; 204
23 ; 16
24 ; 82
25 ; 62
26 ; 2
27 ; 20
28 ; 98
29 ; 6
30 ; 12
31 ; 8
32 ; 66
33 ; 18
34 ; 40
35 ; 30
36 ; 22
38 ; 96
39 ; 12
40 ; 14
41 ; 24
42 ; 10
43 ; 10
44 ; 32
45 ; 440
46 ; 22
47 ; 52
48 ; 288
49 ; 10
50 ; 12
51 ; 6
52 ; 12
53 ; 24
54 ; 6
55 ; 16
56 ; 36
57 ; 2
58 ; 230
60 ; 2
61 ; 60
62 ; 8
63 ; 10
64 ; 4
66 ; 68
69 ; 16
70 ; 12
72 ; 4
73 ; 4
74 ; 4
75 ; 42
76 ; 18
77 ; 56
78 ; 48
79 ; 40
80 ; 16
81 ; 20
82 ; 2
84 ; 10
85 ; 38
86 ; 64
87 ; 4
88 ; 110
89 ; 24
91 ; 4
92 ; 2
93 ; 58
94 ; 6
95 ; 8
96 ; 8
97 ; 54
98 ; 34
99 ; 20
100 ; 38
101 ; 78
102 ; 18
103 ; 128
104 ; 16
105 ; 4
106 ; 26
107 ; 12
108 ; 42
109 ; 24
110 ; 20
111 ; 4
112 ; 22
113 ; 4
114 ; 4
115 ; 24
116 ; 28
117 ; 94
119 ; 30
120 ; 38
121 ; 2
122 ; 4
123 ; 110
124 ; 8
125 ; 8
127 ; 4
129 ; 10
130 ; 24
131 ; 12
132 ; 24
133 ; 12
134 ; 26
135 ; 42
136 ; 10
137 ; 110
138 ; 2
139 ; 8
140 ; 8
141 ; 2
142 ; 4
143 ; 26
144 ; 6
145 ; 48
146 ; 14
147 ; 22
148 ; 14
149 ; 52
150 ; 8
151 ; 108
153 ; 2
154 ; 4
155 ; 34
156 ; 18
157 ; 6
158 ; 18
159 ; 6
160 ; 74
161 ; 28
162 ; 58
163 ; 32
164 ; 26
165 ; 18
167 ; 26
168 ; 2
171 ; 16
172 ; 2
173 ; 62
175 ; 26
176 ; 12
177 ; 20
178 ; 50
179 ; 32
180 ; 30
181 ; 44
182 ; 6
183 ; 26
184 ; 14
186 ; 20
187 ; 14
190 ; 16
191 ; 8
192 ; 18
193 ; 10
194 ; 4
195 ; 48
196 ; 24
197 ; 38
198 ; 10
199 ; 28
200 ; 62
202 ; 30
204 ; 6
205 ; 12
206 ; 32
207 ; 10
208 ; 12
209 ; 16
210 ; 16
211 ; 38
212 ; 62
213 ; 24
214 ; 36
215 ; 38
216 ; 178
217 ; 32
219 ; 16
220 ; 14
221 ; 44
222 ; 36
223 ; 84
224 ; 44
225 ; 4
226 ; 38
227 ; 4
228 ; 18
229 ; 10
230 ; 2
231 ; 10
232 ; 8
233 ; 2
234 ; 38
235 ; 16
237 ; 10
238 ; 2
239 ; 22
240 ; 20
241 ; 24
242 ; 4
243 ; 20
244 ; 36
245 ; 10
246 ; 44
247 ; 136
248 ; 38
249 ; 6
250 ; 16
251 ; 116
252 ; 6
253 ; 10
254 ; 22
255 ; 10
256 ; 2
